SMILES,CASRN,RECORDID,MOLECULEID,NAME,ARTICLEID,PAGE,TABLE,AMES,Dataset,Cell strain,S9 metabolic bioactivation,COMMENTS,INCHI_KEY
COC1=CC=C(CC=C)C=C1,-,R280874,M14082,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ZFMSMUAANRJZFM-UHFFFAOYSA
COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(\C)=N\NC(=O)C3=CC=CC=C3)C(O)=C1C2=O,-,R280875,M120591,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,FBTUMDXHSRTGRV-ALTNURHMSA
CCOC(=O)NNC1=NN=CC2=C1C=CC=C2,-,R280876,M120484,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WGZDBVOTUVNQFP-UHFFFAOYSA
CCCCNC(=O)\C=C\C1=CC=C(O1)N(=O)=O,-,R280877,M55006,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,MFJYRLRBBMJWDW-GQCTYLIASA
CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC12C)C(C)=O,-,R280878,M11414,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,UWFYSQMTEOIJJG-UHFFFAOYSA
OCC(O)CO,-,R280879,M8486,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,PEDCQBHIVMGVHV-UHFFFAOYSA
COP(=S)(OC)OC1=CC=C(N=O)C(C)=C1,-,R280880,M120893,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,CNNSBOXZYDQHTQ-UHFFFAOYSA
CN1C=CN(COCCC(C)(C)N(=O)=O)C1\C=N\O,-,R280881,M132197,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,OVBBRBYXASCVFD-XYOKQWHBSA
O=C(C1OC1C1=CC=C(OC2=CC=CC=C2)C=C1)C1=CC=CC=C1,-,R280882,M132198,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,RUWHCWOSBZLDPK-UHFFFAOYSA
CN(C)N=NC1=CC=C(Cl)C=C1,-,R280883,M31753,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,JZGUQAMYFQKVSO-UHFFFAOYSA
CCCCCCCCCCCCCCCCCCCC,-,R280884,M1215,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,CBFCDTFDPHXCNY-UHFFFAOYSA
OC(=O)C1=CC=CC=C1Cl,-,R280885,M4441,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,IKCLCGXPQILATA-UHFFFAOYSA
CN(C)C(=O)C1=NN(C(CNC(=O)CN)=N1)C1=CC=C(Cl)C=C1C(=O)C1=CC=CC=C1Cl,-,R280886,M120795,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,KYHFRCPLIGODFH-UHFFFAOYSA
CCCC\C=C\C=C\C=C\C=C\C=C\OC,-,R280887,M132199,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,DXOYHNLXSQFQEO-YDVXLIQTSA
CCCCOS(C)(=O)=O,-,R280888,M58881,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,LFLBHTZRLVHUQC-UHFFFAOYSA
O=N(=O)C1=CC=C2C=CC=C3CCC1=C23,-,R280889,M132200,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WTRQPBAHQILXND-UHFFFAOYSA
NC1=CC=CC=C1,-,R280890,M8413,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,PAYRUJLWNCNPSJ-UHFFFAOYSA
OC1=CC=C2C(=O)C3=CC=CC4=C3C(=CC=C4O)C2=C1,-,R280891,M119791,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,ZXDQXYQFZQKEEF-UHFFFAOYSA
ClC1=C(Cl)C(=O)C(C#N)=C(C#N)C1=O,-,R280892,M17737,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,HZNVUJQVZSTENZ-UHFFFAOYSA
CCOC(N)=O,-,R280893,M5175,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,JOYRKODLDBILNP-UHFFFAOYSA
C(N1CCN=N1)C1=CC=CC=C1,-,R280894,M132201,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,DQQRMBAVSCPSJH-UHFFFAOYSA
CN1C=CN(CCS(C)(=O)=O)C1\C=N\O,-,R280895,M132202,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,GSONOLXPYMMXME-VQHVLOKHSA
NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-,R280896,M55247,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,NMUSYJAQQFHJEW-KVTDHHQDSA
BrC(Br)C#N,-,R280897,M7225,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,NDSBDLSWTGLNQA-UHFFFAOYSA
ClC1=CC=C(C=C1)C1=C(N2C=CSC2=N1)N(=O)=O,-,R280898,M120053,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,VRDXZMZDTCQVBV-UHFFFAOYSA
CCN1C=C(C(O)=O)C(=O)C2=CN=C(N=C12)N1CCNCC1,-,R280899,M5163,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,JOHZPMXAZQZXHR-UHFFFAOYSA
O=NN1CCCCCC1,-,R280900,M24092,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,UZMVSVHUTOAPTD-UHFFFAOYSA
NC1=CC=C2C=CC3=C4C(C=CC1=C24)=C(C=C3)N(=O)=O,-,R280901,M120421,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WGVCNGPAJHVJKK-UHFFFAOYSA
FC(F)(F)C1=CC=C(Cl)C=C1,-,R280902,M9446,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,QULYNCCPRWKEMF-UHFFFAOYSA
