"SMILES","CASRN","RECORDID","MOLECULEID","NAME","ARTICLEID","PAGE","TABLE","ERROR","log(IGC50-1) {measured}","UNIT {log(IGC50-1)}","log(IGC50-1) {predicted by ochem.eu/model/3 in -log(mmol/L)}","log(IGC50-1) {measured, converted}","UNIT {log(IGC50-1)}","ASNN-STDEV{log(IGC50-1) by Toxicity against T. Pyriformis}","ASNN-CORREL{log(IGC50-1) by Toxicity against T. Pyriformis}","Dataset","HALOG","MW","N","NA","NH","O","PSA","S","SaaCH","aCNOS","SaasC","SsCH3","RBONDS","SssCH2","DONORS","SsNH2","SsNH2(al)","SsssCH","SsOH","SsOH(alc)","SssssC","SsNH2(ar)","ACCEPTORS","SssO","SsOH(phen)","SsCl","SdCH2","SdsCH","SsI","SsBr","SdO","SdO(keto)","SdO(nitro)","SdssC","StN","StsC","SsF","SdS","SsNH2(oth)","SddC","SssNH","SssNH(ar)","SaaN","SsssN","SdO(ester)","SdO(amid)","SssNH(oth)","SssS","StCH","SsSH","SdO(sulfo)","SdssS","SddssS","SdO(acid)","SssNH(al)","SaaaC","COMMENTS","INCHI_KEY"
"C1=CC=CC=C1","71-43-2","R33885","M663937","Benzene","A1994","-","-","-","-0.12","-log(mmol/L)","-0.1599999964237213","-0.12","-log(mmol/L)","0.2487","0.1935","Train","0.0","78.1","0.0","6.0","6.0","0.0","0.0","0.0","12.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","UHOVQNZJYSORNB-UHFFFAOYSA"
"CC1=CC=C(C)C=C1","106-42-3","R33886","M11317","4-Xylene","A1994","-","-","-","0.25","-log(mmol/L)","0.046640001237392426","0.25","-log(mmol/L)","0.2476","0.1836","Train","0.0","106.0","0.0","8.0","10.0","0.0","0.0","0.0","8.48","6.0","2.66","4.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","URLKBWYHVLBVBO-UHFFFAOYSA"
"[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H]","108-88-3","R33887","M13899","Toluene","A1994","-","-","-","0.25","-log(mmol/L)","0.07678999751806259","0.25","-log(mmol/L)","0.1877","0.1274","Train","0.0","92.2","0.0","7.0","8.0","0.0","0.0","0.0","10.3","6.0","1.32","2.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","YXFVVABEGXRONW-UHFFFAOYSA"
"CCCCC1=CC=CC=C1","104-51-8","R33888","M7803","n-butylbenzene","A1994","-","-","-","1.25","-log(mmol/L)","0.8963000178337097","1.25","-log(mmol/L)","0.2486","0.2719","Train","0.0","134.0","0.0","10.0","14.0","0.0","0.0","0.0","10.6","6.0","1.46","2.22","3.0","3.83","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","OCKPCBLVNKHBMX-UHFFFAOYSA"
"CCCCCC1=CC=CC=C1","538-68-1","R33889","M8863","N-AMYLBENZENE","A1994","-","-","-","1.79","-log(mmol/L)","1.5759999752044678","1.79","-log(mmol/L)","0.2788","0.2882","Train","0.0","148.0","0.0","11.0","16.0","0.0","0.0","0.0","10.7","6.0","1.47","2.24","4.0","5.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","PWATWSYOIIXYMA-UHFFFAOYSA"
"NCC1=CC=CC=C1","100-46-9","R33890","M12270","benzylamine","A1994","-","-","-","-0.24","-log(mmol/L)","-0.2775999903678894","-0.24","-log(mmol/L)","0.2855","0.2737","Train","0.0","107.0","1.0","8.0","9.0","0.0","26.0","0.0","9.99","6.0","1.19","0.0","1.0","0.64","2.0","5.35","5.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","WGQKYBSKWIADBV-UHFFFAOYSA"
"CC(C)C1=CC=CC=C1","98-82-8","R33891","M10091","isopropylbenzene","A1994","-","","-","0.69","-log(mmol/L)","0.3483999967575073","0.69","-log(mmol/L)","0.2398","0.2339","Train","0.0","120.0","0.0","9.0","12.0","0.0","0.0","0.0","10.5","6.0","1.41","4.41","1.0","0.0","0.0","0.0","0.0","0.659","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","RWGFKTVRMDUZSP-UHFFFAOYSA"
"OCCCCCC1=CC=CC=C1","10521-91-2","R33892","M2182","5-Phenyl-1-pentanol","A1994","-","-","-","0.42","-log(mmol/L)","0.571399986743927","0.42","-log(mmol/L)","0.252","0.293","Train","0.0","164.0","0.0","12.0","16.0","1.0","20.2","0.0","10.5","6.0","1.4","0.0","5.0","4.72","1.0","0.0","0.0","0.0","8.56","8.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","DPZMVZIQRMVBBW-UHFFFAOYSA"
"CC(C)(O)CCC1=CC=CC=C1","103-05-9","R33893","M13910","a,a-Dimethylbenzenepropanol","A1994","-","-","-","-0.07","-log(mmol/L)","0.08789999783039093","-0.07","-log(mmol/L)","0.2227","0.2792","Train","0.0","164.0","0.0","12.0","16.0","1.0","20.2","0.0","10.2","6.0","1.29","3.69","3.0","1.76","1.0","0.0","0.0","0.0","9.48","9.48","-0.546","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","YXVSKJDFNJFXAJ-UHFFFAOYSA"
"OCCCC1=CC=CC=C1","122-97-4","R33894","M11515","3-Phenyl-1-propanol","A1994","-","-","-","-0.21","-log(mmol/L)","-0.40779998898506165","-0.21","-log(mmol/L)","0.1906","0.2622","Train","0.0","136.0","0.0","10.0","12.0","1.0","20.2","0.0","10.2","6.0","1.3","0.0","3.0","2.13","1.0","0.0","0.0","0.0","8.53","8.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-","VAJVDSVGBWFCLW-UHFFFAOYSA"
